libdb5.3 5.3.28-13.1ubuntu1.1
libdbus-1-3 1.12.2-1ubuntu1.1
libdbus-glib-1-2 0.110-2
libdbusmenu-glib4 16.04.1+18.04.20171206-0ubuntu2
libdbusmenu-gtk3-4 16.04.1+18.04.20171206-0ubuntu2
libdbusmenu-gtk4 16.04.1+18.04.20171206-0ubuntu2
libdbusmenu-qt5-2 0.9.3+16.04.20160218-1ubuntu1
libdc1394-22 2.2.5-1
libdca0 0.0.5-10
libdconf1 0.26.0-2ubuntu3
libde265-0 1.0.2-2build1
libdebconfclient0 0.213ubuntu1
libdee-1.0-4 1.2.7+17.10.20170616-0ubuntu4
libdevmapper1.02.1 2:1.02.145-4.1ubuntu3.18.04.1
libdigest-hmac-perl 1.03+dfsg-1
libdirectfb-1.7-7 1.7.7-8
libdjvulibre-text 3.5.27.1-8
libdjvulibre21 3.5.27.1-8
libdns-export1100 1:9.11.3+dfsg-1ubuntu1.9
libdns1100 1:9.11.3+dfsg-1ubuntu1.9
libdouble-conversion1 2.0.1-4ubuntu1
libdpkg-perl 1.19.0.5ubuntu2.2
libdrm-amdgpu1 2.4.97-1ubuntu1~18.04.1
libdrm-common 2.4.97-1ubuntu1~18.04.1
libdrm-intel1 2.4.97-1ubuntu1~18.04.1
libdrm-nouveau2 2.4.97-1ubuntu1~18.04.1
libdrm-radeon1 2.4.97-1ubuntu1~18.04.1
libdrm2 2.4.97-1ubuntu1~18.04.1
libdv4 1.0.0-11
libdvbpsi10 1.3.2-1
libdvdnav4 6.0.0-1
libdvdread4 6.0.0-1
libebml4v5 1.3.5-2ubuntu0.1
libebook-contacts-1.2-2 3.28.5-0ubuntu0.18.04.2
libedataserver-1.2-23 3.28.5-0ubuntu0.18.04.2
libedit2 3.1-20170329-1
libefiboot1 34-1
libefivar1 34-1
libegl-mesa0 19.0.8-0ubuntu0~18.04.1
libegl1 1.0.0-2ubuntu2.3
libegl1-mesa 19.0.8-0ubuntu0~18.04.1
libelf1 0.170-0.4ubuntu0.1
libemail-valid-perl 1.202-1
libenca0 1.19-1
libenchant1c2a 1.6.0-11.1
libencode-locale-perl 1.05-1
libepoxy0 1.4.3-1
libept1.5.0 1.1+nmu3build1
liberror-perl 0.17025-1
libestr0 0.1.10-2.1
libevdev2 1.5.8+dfsg-1
libevdocument3-4 3.28.4-0ubuntu1.2
libevent-2.1-6 2.1.8-stable-4build1
libevview3-3 3.28.4-0ubuntu1.2
libexif12 0.6.21-4
libexo-1-0 0.12.2-0ubuntu0.18.04.1
libexo-2-0 0.12.2-0ubuntu0.18.04.1
libexo-common 0.12.2-0ubuntu0.18.04.1
libexo-helpers 0.12.2-0ubuntu0.18.04.1
libexpat1 2.2.5-3ubuntu0.1
libexpat1-dev 2.2.5-3ubuntu0.1
libexporter-tiny-perl 1.000000-2
libext2fs2 1.44.1-1ubuntu1.1
libfaad2 2.8.8-1
libfakeroot 1.22-2ubuntu1
libfam0 2.7.0-17.2
libfastjson4 0.99.8-2
libfcgi-perl 0.78-2build1
libfcitx-config4 1:4.2.9.6-1
libfcitx-core0 1:4.2.9.6-1
libfcitx-gclient1 1:4.2.9.6-1
libfcitx-utils0 1:4.2.9.6-1
libfdisk1 2.31.1-0.4ubuntu3.3
libffi6 3.2.1-8
libfftw3-double3 3.3.7-1
libfftw3-single3 3.3.7-1
libfile-basedir-perl 0.07-1
libfile-fcntllock-perl 0.22-3build2
libfile-listing-perl 6.04-1
libfile-stripnondeterminism-perl 0.040-1.1~build1
libflac8 1.3.2-1
libflite1 2.1-release-1
libfluidsynth1 1.1.9-1
libfm-data 1.2.5-1ubuntu1
libfm-extra4 1.2.5-1ubuntu1
libfm-gtk-data 1.2.5-1ubuntu1
libfm-gtk4 1.2.5-1ubuntu1
libfm-modules 1.2.5-1ubuntu1
libfm4 1.2.5-1ubuntu1
libfontconfig1 2.12.6-0ubuntu2
libfontembed1 1.20.2-0ubuntu3.1
libfontenc1 1:1.1.3-1
libfreetype6 2.8.1-2ubuntu2
libfribidi0 0.19.7-2
libfuse2 2.9.7-1ubuntu1
libfwup1 12-3bionic2
libfwupd2 1.0.9-0ubuntu2
libgadu3 1:1.12.2-3
libgbm1 19.0.8-0ubuntu0~18.04.1
libgcab-1.0-0 1.1-2
libgcc-7-dev 7.4.0-1ubuntu1~18.04.1
